Time (s),AIN0-AIN1 (V)
0.000000,-0.000124
0.001000,-0.000165
0.002000,-0.000194
0.003000,-0.000083
0.004000,-0.000206
0.005000,-0.000146
0.006000,-0.000229
0.007000,-0.000121
0.008000,-0.000197
0.009000,-0.000127
0.010000,-0.000257
0.011000,-0.000093
0.012000,-0.000178
0.013000,-0.000168
0.014000,-0.000184
0.015000,-0.000134
0.016000,-0.000162
0.017000,-0.000222
0.018000,-0.000137
0.019000,-0.000191
0.020000,-0.000118
0.021000,-0.000168
0.022000,-0.000131
0.023000,-0.000216
0.024000,-0.000150
0.025000,-0.000191
0.026000,-0.000140
0.027000,-0.000172
0.028000,-0.000153
0.029000,-0.000197
0.030000,-0.000137
0.031000,-0.000172
0.032000,-0.000162
0.033000,-0.000184
0.034000,-0.000093
0.035000,-0.000181
0.036000,-0.000178
0.037000,-0.000178
0.038000,-0.000140
0.039000,-0.000181
0.040000,-0.000115
0.041000,-0.000232
0.042000,-0.000162
0.043000,-0.000146
0.044000,-0.000127
0.045000,-0.000146
0.046000,-0.000178
0.047000,-0.000159
0.048000,-0.000159
0.049000,-0.000165
0.050000,-0.000102
0.051000,-0.000112
0.052000,-0.000175
0.053000,-0.000143
0.054000,-0.000168
0.055000,-0.000115
0.056000,-0.000105
0.057000,-0.000162
0.058000,-0.000150
0.059000,-0.000153
0.060000,-0.000099
0.061000,-0.000159
0.062000,-0.000172
0.063000,-0.000118
0.064000,-0.000165
0.065000,-0.000153
0.066000,-0.000203
0.067000,-0.000146
0.068000,-0.000200
0.069000,-0.000140
0.070000,-0.000153
0.071000,-0.000127
0.072000,-0.000187
0.073000,-0.000153
0.074000,-0.000115
0.075000,-0.000112
0.076000,-0.000134
0.077000,-0.000143
0.078000,-0.000146
0.079000,-0.000159
0.080000,-0.000197
0.081000,-0.000146
0.082000,-0.000112
0.083000,-0.000162
0.084000,-0.000153
0.085000,-0.000184
0.086000,-0.000118
0.087000,-0.000248
0.088000,-0.000137
0.089000,-0.000229
0.090000,-0.000124
0.091000,-0.000153
0.092000,-0.000115
0.093000,-0.000206
0.094000,-0.000099
0.095000,-0.000191
0.096000,-0.000112
0.097000,-0.000172
0.098000,-0.000118
0.099000,-0.000146
0.100000,-0.000162
0.101000,-0.000115
0.102000,-0.000175
0.103000,-0.000112
0.104000,-0.000159
0.105000,-0.000127
0.106000,-0.000200
0.107000,-0.000137
0.108000,-0.000257
0.109000,-0.000014
0.110000,-0.000181
0.111000,-0.000146
0.112000,-0.000150
0.113000,-0.000165
0.114000,-0.000146
0.115000,-0.000159
0.116000,-0.000134
0.117000,-0.000172
0.118000,-0.000162
0.119000,-0.000165
0.120000,-0.000137
0.121000,-0.000165
0.122000,-0.000178
0.123000,-0.000121
0.124000,-0.000178
0.125000,-0.000143
0.126000,-0.000159
0.127000,-0.000156
0.128000,-0.000159
0.129000,-0.000257
0.130000,-0.000162
0.131000,-0.000146
0.132000,-0.000172
0.133000,-0.000156
0.134000,-0.000077
0.135000,-0.000181
0.136000,-0.000146
0.137000,-0.000213
0.138000,-0.000108
0.139000,-0.000213
0.140000,-0.000156
0.141000,-0.000172
0.142000,-0.000191
0.143000,-0.000096
0.144000,-0.000118
0.145000,-0.000172
0.146000,-0.000150
0.147000,-0.000175
0.148000,-0.000112
0.149000,-0.000083
0.150000,-0.000181
0.151000,-0.000153
0.152000,-0.000156
0.153000,-0.000172
0.154000,-0.000184
0.155000,-0.000143
0.156000,-0.000112
0.157000,-0.000143
0.158000,-0.000165
0.159000,-0.000165
0.160000,-0.000112
0.161000,-0.000200
0.162000,-0.000194
0.163000,-0.000064
0.164000,-0.000172
0.165000,-0.000115
0.166000,-0.000178
0.167000,-0.000118
0.168000,-0.000172
0.169000,-0.000184
0.170000,-0.000178
0.171000,-0.000156
0.172000,-0.000124
0.173000,-0.000159
0.174000,-0.000146
0.175000,-0.000178
0.176000,-0.000102
0.177000,-0.000178
0.178000,-0.000181
0.179000,-0.000153
0.180000,-0.000099
0.181000,-0.000187
0.182000,-0.000153
0.183000,-0.000168
0.184000,-0.000197
0.185000,-0.000137
0.186000,-0.000172
0.187000,-0.000225
0.188000,-0.000191
0.189000,-0.000156
0.190000,-0.000131
0.191000,-0.000168
0.192000,-0.000178
0.193000,-0.000150
0.194000,-0.000159
0.195000,-0.000150
0.196000,-0.000165
0.197000,-0.000140
0.198000,-0.000118
0.199000,-0.000134
0.200000,-0.000206
0.201000,-0.000137
0.202000,-0.000162
0.203000,-0.000165
0.204000,-0.000156
0.205000,-0.000143
0.206000,-0.000200
0.207000,-0.000143
0.208000,-0.000191
0.209000,-0.000131
0.210000,-0.000216
0.211000,-0.000184
0.212000,-0.000105
0.213000,-0.000102
0.214000,-0.000165
0.215000,-0.000080
0.216000,-0.000162
0.217000,-0.000121
0.218000,-0.000150
0.219000,-0.000134
0.220000,-0.000127
0.221000,-0.000150
0.222000,-0.000146
0.223000,-0.000146
0.224000,-0.000168
0.225000,-0.000168
0.226000,-0.000127
0.227000,-0.000162
0.228000,-0.000175
0.229000,-0.000219
0.230000,-0.000083
0.231000,-0.000165
0.232000,-0.000140
0.233000,-0.000168
0.234000,-0.000134
0.235000,-0.000153
0.236000,-0.000162
0.237000,-0.000172
0.238000,-0.000140
0.239000,-0.000238
0.240000,-0.000099
0.241000,-0.000181
0.242000,-0.000105
0.243000,-0.000168
0.244000,-0.000175
0.245000,-0.000150
0.246000,-0.000124
0.247000,-0.000115
0.248000,-0.000178
0.249000,-0.000165
0.250000,-0.000105
0.251000,-0.000067
0.252000,-0.000127
0.253000,-0.000235
0.254000,-0.000121
0.255000,-0.000140
0.256000,-0.000165
0.257000,-0.000105
0.258000,-0.000181
0.259000,-0.000102
0.260000,-0.000203
0.261000,-0.000156
0.262000,-0.000143
0.263000,-0.000102
0.264000,-0.000168
