Time (s),AIN0,AIN1
0.0,0.09109723567962646,0.09110356122255325
0.001,0.09110989421606064,0.09110672771930695
0.002,0.09110672771930695,0.09110040217638016
0.003,0.09110672771930695,0.09110040217638016
0.004,0.09110672771930695,0.09110356122255325
0.005,0.09110356122255325,0.09110040217638016
0.006,0.09110356122255325,0.09110040217638016
0.007,0.09110989421606064,0.09110356122255325
0.008,0.09110356122255325,0.09110356122255325
0.009,0.09110356122255325,0.09109407663345337
0.01,0.09110356122255325,0.09109407663345337
0.011,0.09110356122255325,0.09110040217638016
0.012,0.09110356122255325,0.09110040217638016
0.013,0.09110356122255325,0.09109723567962646
0.014,0.09110040217638016,0.09110356122255325
0.015,0.09110356122255325,0.09110356122255325
0.016,0.09110356122255325,0.09109723567962646
0.017,0.09110040217638016,0.09109723567962646
0.018,0.09110356122255325,0.09109723567962646
0.019,0.09110672771930695,0.09110040217638016
0.02,0.09110672771930695,0.09109407663345337
0.021,0.09110040217638016,0.09110356122255325
0.022,0.09110356122255325,0.09110040217638016
0.023,0.09110356122255325,0.09109407663345337
0.024,0.09110356122255325,0.09109723567962646
0.025,0.0912332683801651,0.091230109333992
0.026,0.09142308682203293,0.09141359478235245
0.027,0.09152115881443024,0.09151482582092285
0.028,0.09158442914485931,0.09157810360193253
0.029,0.09162555634975433,0.09162238985300064
0.03,0.09165402501821518,0.09166035056114197
0.031,0.09167933464050293,0.09167933464050293
0.032,0.09170147776603699,0.0916919857263565
0.033,0.09171096980571747,0.09170147776603699
0.034,0.09172046184539795,0.09171413630247116
0.035,0.09172362089157104,0.09172362089157104
0.036,0.09172995388507843,0.09172678738832474
0.037,0.09172995388507843,0.09172995388507843
0.038,0.09173627942800522,0.09172995388507843
0.039,0.09173627942800522,0.09173627942800522
0.04,0.09173943847417831,0.09173627942800522
0.041,0.091742604970932,0.091742604970932
0.042,0.0917457714676857,0.09173943847417831
0.043,0.09175209701061249,0.0917489305138588
0.044,0.0917489305138588,0.091742604970932
0.045,0.0917489305138588,0.0917457714676857
0.046,0.09175209701061249,0.09175209701061249
0.047,0.09175526350736618,0.0917489305138588
0.048,0.09175526350736618,0.0917489305138588
0.049,0.09175526350736618,0.0917489305138588
0.05,0.09175526350736618,0.0917489305138588
0.051,0.09175526350736618,0.0917489305138588
0.052,0.09175209701061249,0.09175209701061249
0.053,0.09175526350736618,0.09175209701061249
0.054,0.09175842255353928,0.0917489305138588
0.055,0.09175526350736618,0.09175209701061249
0.056,0.09175526350736618,0.09175526350736618
0.057,0.09175842255353928,0.09175209701061249
0.058,0.09176158905029297,0.09175526350736618
0.059,0.09175209701061249,0.09175209701061249
0.06,0.09175842255353928,0.09175209701061249
0.061,0.09175842255353928,0.09175842255353928
0.062,0.09175526350736618,0.0917489305138588
0.063,0.09175842255353928,0.09175209701061249
0.064,0.09175842255353928,0.09175209701061249
0.065,0.09175842255353928,0.09175842255353928
0.066,0.09175842255353928,0.09175526350736618
0.067,0.09168882668018341,0.09168566018342972
0.068,0.09163504093885422,0.09162871539592743
0.069,0.09159708023071289,0.09160024672746658
0.07,0.09158126264810562,0.09158442914485931
0.071,0.09157493710517883,0.09156544506549835
0.072,0.09155911952257156,0.09155279397964478
0.073,0.09154646098613739,0.09154962748289108
0.074,0.09154646098613739,0.09154646098613739
0.075,0.09148003160953522,0.09147686511278152
0.076,0.09134399890899658,0.09134399890899658
0.077,0.09127439558506012,0.09126807004213333
0.078,0.09122694283723831,0.091230109333992
0.079,0.09120479971170425,0.09119847416877747
0.08,0.0911794900894165,0.09117632359266281
0.081,0.09116367250680923,0.09116367250680923
0.082,0.09115734696388245,0.09115102142095566
0.083,0.09114785492420197,0.09114152938127518
0.084,0.09113520383834839,0.09113836288452148
0.085,0.09113836288452148,0.0911320373415947
0.086,0.091128870844841,0.091128870844841
0.087,0.0911320373415947,0.091128870844841
0.088,0.091128870844841,0.09112254530191422
0.089,0.09113520383834839,0.0911320373415947
0.09,0.091128870844841,0.09112254530191422
0.091,0.091128870844841,0.09111938625574112
0.092,0.09112254530191422,0.09112254530191422
0.093,0.09112254530191422,0.09111938625574112
0.094,0.09111621975898743,0.09112254530191422
0.095,0.09111938625574112,0.09111621975898743
0.096,0.09112254530191422,0.09111621975898743
0.097,0.09112254530191422,0.09111938625574112
0.098,0.09111938625574112,0.09111621975898743
0.099,0.09112254530191422,0.09111621975898743
0.1,0.09111621975898743,0.09111305326223373
0.101,0.09112254530191422,0.09111938625574112
0.102,0.09111621975898743,0.09112254530191422
0.103,0.09111938625574112,0.09111621975898743
0.104,0.09111621975898743,0.09111621975898743
0.105,0.09111621975898743,0.09111621975898743
0.106,0.09111938625574112,0.09111621975898743
0.107,0.09112254530191422,0.09111621975898743
0.108,0.09111938625574112,0.09111621975898743
0.109,0.09118581563234329,0.09118898212909698
0.11,0.09124276041984558,0.09123960137367249
0.111,0.09127439558506012,0.09127123653888702
0.112,0.09129021316766739,0.09129021316766739
0.113,0.09130603075027466,0.09130287170410156
0.114,0.09132184833288193,0.09131236374378204
0.115,0.09132501482963562,0.09131868928670883
0.116,0.09132501482963562,0.09132818132638931
0.117,0.09133134037256241,0.09133134037256241
0.118,0.0913345068693161,0.09132818132638931
0.119,0.0913376659154892,0.09133134037256241
0.12,0.0913376659154892,0.0913345068693161
0.121,0.09134399890899658,0.09133134037256241
0.122,0.09134083241224289,0.0913345068693161
0.123,0.09134399890899658,0.0913376659154892
0.124,0.09134083241224289,0.0913345068693161
0.125,0.09139777719974518,0.09140094369649887
0.126,0.09153380990028381,0.09153064340353012
0.127,0.09160657227039337,0.09160340577363968
0.128,0.0916445329785347,0.09164769947528839
0.129,0.09167933464050293,0.09167300909757614
0.13,0.09169831871986389,0.0916951522231102
0.131,0.09172362089157104,0.09171096980571747
0.132,0.09172678738832474,0.09172046184539795
